,Cosine Similarity
0,2.0003053e-07
1,3.4870396e-07
2,2.2356855e-06
3,2.6291895e-07
4,1.2840266e-07
5,1.4032873e-06
6,1.13979596e-07
7,7.4698517e-07
8,2.0404996e-06
9,2.2674696e-07
10,2.3378247e-07
11,4.0486015e-05
12,2.2949888e-07
13,5.0856835e-07
14,2.6243155e-05
15,1.4034207e-07
16,8.226569e-08
17,6.017659e-06
18,1.10067255e-07
19,1.4735416e-07
20,1.6981154e-06
21,1.26202e-07
22,8.1752546e-08
23,5.002852e-06
24,8.5377803e-07
25,6.396422e-07
26,1.8979595e-07
27,1.833917e-07
28,2.7523515e-07
29,1.0052396e-05
30,5.81773e-08
31,3.6833538e-07
32,2.2985457e-06
33,8.801812e-08
34,5.4985935e-07
35,7.6259876e-06
36,5.7627324e-07
37,9.403793e-08
38,6.187764e-05
39,1.7003799e-07
40,1.517702e-07
41,6.2632907e-06
42,1.4960366e-07
43,1.71614e-07
44,1.7011269e-05
45,7.2202613e-07
46,7.1852156e-08
47,3.7342315e-06
48,2.4619476e-07
49,6.888826e-08
50,6.6579e-05
